# t [s], p1 [Pa], p2 [Pa], mobA [kg], immA [kg], dissA [kg], sealA [kg], mobB [kg], immB [kg], dissB [kg], sealB [kg], M_C [m], sealTot [kg], boundTot [kg]
6.102236952e9, 4.11074090816726e7, 3.522531240316853e7, 3.36991088478776e7, 157059.57034706755, 2.0206611108233922e6, 114411.65316902823, 1.4470338352361324e6, 73215.98805762728, 1.2799298814385275e6, 7.8470850099110905, NaN, 285905.8348706747, 3.9060827268563387
6.133793904e9, 4.110529164094533e7, 3.52230859633938e7, 3.373774114657182e7, 155928.15789563453, 2.0245373202621057e6, 114410.27026046353, 1.4455306373510605e6, 70641.1219261523, 1.2824061870612602e6, 7.837325857756368, NaN, 285893.93748625886, 3.9060885972519075
6.165350856e9, 4.110309769966714e7, 3.522077988368162e7, 3.377170736792476e7, 154769.8326451409, 2.032800498236355e6, 114408.83479401092, 1.4440664967777103e6, 67990.82114708783, 1.284865996328977e6, 7.821146813219603, NaN, 285881.6516282144, 3.9060938410981034
6.196907808e9, 4.110076165115079e7, 3.521833158237715e7, 3.379969793191137e7, 153583.8325572218, 2.046827142779505e6, 114407.33020012177, 1.4426387595699695e6, 65265.05889580931, 1.2873038522923642e6, 7.7962503058833414, NaN, 285868.832092589, 3.906098355963068
6.22846476e9, 4.109832106205783e7, 3.521578635123571e7, 3.3823312574188724e7, 157105.98219863448, 2.060061195089294e6, 114405.78601518332, 1.441245088193704e6, 62468.28392062396, 1.2897273190811581e6, 7.765016500223625, NaN, 285855.7716973164, 3.9061025366759634
6.260021712e9, 4.109595041307606e7, 3.5213328045735225e7, 3.384609943612542e7, 170700.9770243396, 2.0632034724977668e6, 114404.37587307951, 1.4398842772955624e6, 59609.52964363949, 1.2921572278837971e6, 7.734770845439698, NaN, 285843.2060074569, 3.9061069944026956
6.291578664e9, 4.109365078382316e7, 3.521094517378316e7, 3.3867290983024456e7, 185170.19877365744, 2.0664360639775791e6, 114403.00256458884, 1.4385546998744055e6, 56689.26566017153, 1.2945903526330243e6, 7.7043452764686515, NaN, 285830.73606341745, 3.9061111236494663
6.323135616e9, 4.109141521916762e7, 3.5208627111227505e7, 3.388718287985804e7, 200290.073017963, 2.0697579512620023e6, 114401.63376393056, 1.4372547287499236e6, 53708.668957045265, 1.297025734397385e6, 7.673146170167697, NaN, 285818.29524818866, 3.906114934542477
6.346703808e9, 4.10892384513333e7, 3.520636942769527e7, 3.3906063517497145e7, 215892.2398212747, 2.0731641235966552e6, 114400.26882949763, 1.4359828708584872e6, 50671.06316550272, 1.2994621092584748e6, 7.6410536028970775, NaN, 285805.88854135486, 3.9061184586901687
6.370272e9, 4.108765030648257e7, 3.520472280140005e7, 3.396917361746069e7, 178291.12872854772, 2.0757538602092979e6, 114399.25371986572, 1.435047926066689e6, 48373.70960111673, 1.3012815475133245e6, 7.616893917303012, NaN, 285796.6745883026, 3.9061209694853134
6.401828952e9, 4.108610005469927e7, 3.520311547489241e7, 3.399007779236073e7, 182620.85264832157, 2.0783887871206547e6, 114398.24298371015, 1.4341272424563586e6, 46045.2937227916, 1.3031042679802417e6, 7.5925538381268165, NaN, 285787.5028552072, 3.906123342239451
6.433385904e9, 4.108408796877915e7, 3.520102842155654e7, 3.401739341768366e7, 188553.1643697022, 2.0819973240204307e6, 114396.89630459971, 1.4329183040616035e6, 42873.258408112335, 1.3055514182189752e6, 7.559482405383613, NaN, 285775.2802467737, 3.9061262519944973
6.464942856e9, 4.1082129196661234e7, 3.519899545563971e7, 3.4096057362363376e7, 142553.26630483186, 2.0856853124147325e6, 114395.55390584457, 1.4317303039898493e6, 39648.00983091322, 1.308006513784936e6, 7.525576168318685, NaN, 285763.085384989, 3.9061288704881973
6.496499808e9, 4.108023610897592e7, 3.519703957106988e7, 3.41294625042289e7, 141161.91033976618, 2.089455274800744e6, 114394.21251005743, 1.3885866337144575e6, 78340.51555221161, 1.3104738007419547e6, 7.4900275532303, NaN, 285751.0370685402, 3.90613120172942
6.52805676e9, 4.1078416472398385e7, 3.5195165995540164e7, 3.416213928126674e7, 139750.3791985353, 2.0933561774085655e6, 114392.87120248625, 1.3875077558471975e6, 74929.98761207012, 1.312953485262069e6, 7.452428753272139, NaN, 285739.5967250826, 3.9061332714073456
6.559613712e9, 4.107663984770012e7, 3.5193330931316115e7, 3.419325658913705e7, 138318.20868854513, 2.0981632556074886e6, 114391.52125075698, 1.3864085816489412e6, 72438.27618879825, 1.3145033684235234e6, 7.411475044764872, NaN, 285728.0532082072, 3.9061349959469975
